cohort_name,cohort_code,campaign_id,img_campaign_id,cohort_dataset,android_base_url,ios_base_url,exclusion
KR Puram Launch,Clinic_xxxKR,1776770926,1778064090,kr_puram_5km.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxxKR,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxxKR,
All Repeat,Clinic_Repeat_xxALL,1776770947,1778064063,repeat_clinic.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_Repeat_xxALL,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_Repeat_xxALL,
AHS Repeat,Clinic_Repeat_xxAHS,1776772771,1778064039,repeat_ahs.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_Repeat_xxAHS,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_Repeat_xxAHS,
AHS N2B,Clinic_N2B_xxAHS,1776772840,1778063938,n2b_bangalore.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_N2B_xxAHS,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_N2B_xxAHS,Appointment Completed
Deworming Due,Clinic_xxDWM,1776772867,1778063887,dewormer.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxDWM,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxDWM,Appointment Completed
Tick & Flea,Clinic_xxTNF,1776772898,1778063848,tick&flea.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxTNF,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxTNF,Appointment Completed
Grooming Potential,Clinic_xxGRP,1776772937,1778063813,grooming_potential.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxGRP,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxGRP,Appointment Completed
Consultation Potential,Clinic_xxCNP,1776772974,1778063747,consultation_potential.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxCNP,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xxCNP,Appointment Completed
Indiranagar Launch,Clinic_xINDR,1776921931,1778062979,indiranagar_5km.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xINDR,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_xINDR,
Whitefield Launch,Clinic_WTFLD,1777700913,1778062838,whitefield_5km.csv,https://supertails.com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_WTFLD,supertails-com/pages/supertails-clinic?utm_source=Clevertap&utm_medium=MobilePush&utm_campaign={date}_MP_{priority}_Clinic_WTFLD,
